OBJECTID,Provider Number,dist_apart,match source,matching_uuid
261,040014,0,dist threshhold,261-040014
262,040011,43,dist threshhold,262-040011
6116,040154,0,dist threshhold,6116-040154
6214,044021,0,dist threshhold,6214-044021
6243,043301,0,dist threshhold,6243-043301
6263,043035,0,dist threshhold,6263-043035
6276,040155,0,top dist and str match,6276-040155
6423,044022,0,dist threshhold,6423-044022
5032,044017,0,dist threshhold,5032-044017
5079,043032,0,top dist and str match,5079-043032
5115,043026,0,top dist and str match,5115-043026
5156,041320,0,dist threshhold,5156-041320
5166,041306,49,dist threshhold,5166-041306
5207,041304,0,dist threshhold,5207-041304
5252,042004,0,top dist and str match,5252-042004
5266,043031,0,top dist and str match,5266-043031
5290,043028,0,top dist and str match,5290-043028
5361,041322,0,dist threshhold,5361-041322
5454,043029,0,dist threshhold,5454-043029
5461,044005,0,dist threshhold,5461-044005
5498,044013,0,dist threshhold,5498-044013
5825,044019,0,dist threshhold,5825-044019
4322,051330,0,dist threshhold,4322-051330
4323,050546,0,dist threshhold,4323-050546
4324,050548,51,dist threshhold,4324-050548
4326,053039,0,dist threshhold,4326-053039
4362,054123,0,dist threshhold,4362-054123
4376,054111,0,dist threshhold,4376-054111
4398,052049,0,dist threshhold,4398-052049
4406,054130,0,dist threshhold,4406-054130
4438,052034,0,dist threshhold,4438-052034
4440,052052,0,dist threshhold,4440-052052
4474,053300,0,dist threshhold,4474-053300
4483,052043,0,dist threshhold,4483-052043
4485,054144,0,top dist and str match,4485-054144
4549,054077,0,dist threshhold,4549-054077
4552,054074,0,dist threshhold,4552-054074
4640,052037,0,dist threshhold,4640-052037
4641,053308,0,dist threshhold,4641-053308
4644,052032,0,dist threshhold,4644-052032
4656,054095,0,dist threshhold,4656-054095
4661,054069,0,dist threshhold,4661-054069
4683,051990,0,dist threshhold,4683-051990
4714,054114,0,dist threshhold,4714-054114
4746,054009,0,top dist and str match,4746-054009
4757,051303,89,dist threshhold,4757-051303
4782,052038,0,dist threshhold,4782-052038
4804,054131,0,top dist and str match,4804-054131
4826,051991,0,dist threshhold,4826-051991
4856,051994,0,dist threshhold,4856-051994
4879,054096,0,dist threshhold,4879-054096
4888,054133,0,dist threshhold,4888-054133
4903,052046,0,dist threshhold,4903-052046
4907,053306,0,top dist and str match,4907-053306
4956,054032,41,dist threshhold,4956-054032
4962,054055,0,dist threshhold,4962-054055
4997,053034,0,dist threshhold,4997-053034
264,050002,0,dist threshhold,264-050002
265,050043,0,normalized average,265-050043
266,050773,0,dist threshhold,266-050773
267,050195,0,dist threshhold,267-050195
268,050211,25,dist threshhold,268-050211
270,050305,0,dist threshhold,270-050305
271,050075,40,normalized average,271-050075
272,050488,0,dist threshhold,272-050488
273,050014,6,dist threshhold,273-050014
274,050039,0,dist threshhold,274-050039
275,050030,35,dist threshhold,275-050030
276,051332,0,dist threshhold,276-051332
277,050496,0,normalized average,277-050496
278,050523,0,dist threshhold,278-050523
279,050689,0,dist threshhold,279-050689
280,050760,35,dist threshhold,280-050760
281,050276,0,dist threshhold,281-050276
282,050072,120,normalized average,282-050072
283,050180,0,dist threshhold,283-050180
284,050417,5,dist threshhold,284-050417
285,050254,0,dist threshhold,285-050254
286,050352,0,dist threshhold,286-050352
287,050192,0,dist threshhold,287-050192
288,050060,0,dist threshhold,288-050060
289,050093,0,dist threshhold,289-050093
290,050492,0,dist threshhold,290-050492
291,050708,0,dist threshhold,291-050708
292,050710,79,dist threshhold,292-050710
293,050732,16,dist threshhold,293-050732
294,051306,0,dist threshhold,294-051306
295,051309,0,dist threshhold,295-051309
296,051318,0,dist threshhold,296-051318
297,050028,0,dist threshhold,297-050028
298,050006,0,dist threshhold,298-050006
300,050045,0,dist threshhold,300-050045
301,050342,0,dist threshhold,301-050342
302,051302,0,dist threshhold,302-051302
303,051324,0,dist threshhold,303-051324
304,051314,0,dist threshhold,304-051314
305,051301,0,dist threshhold,305-051301
306,050315,44,dist threshhold,306-050315
307,050295,0,dist threshhold,307-050295
308,050257,0,dist threshhold,308-050257
309,050608,0,dist threshhold,309-050608
310,050724,28,dist threshhold,310-050724
311,050448,0,top dist and str match,311-050448
312,050455,122,top dist and str match,312-050455
313,050036,0,dist threshhold,313-050036
314,050121,0,dist threshhold,314-050121
315,051317,0,dist threshhold,315-051317
316,051329,0,dist threshhold,316-051329
317,051320,0,dist threshhold,317-051320
318,051307,0,dist threshhold,318-051307
319,053302,0,top dist and str match,319-053302
320,053309,0,top dist and str match,320-053309
321,050124,0,dist threshhold,321-050124
322,050126,0,dist threshhold,322-050126
323,050132,0,dist threshhold,323-050132
324,050137,36,dist threshhold,324-050137
325,050138,84,normalized average,325-050138
327,050191,31,dist threshhold,327-050191
328,050169,0,dist threshhold,328-050169
329,050146,186,top dist and str match,329-050146
330,050149,0,dist threshhold,330-050149
331,050135,0,dist threshhold,331-050135
332,050158,0,dist threshhold,332-050158
333,050091,0,dist threshhold,333-050091
334,050096,0,dist threshhold,334-050096
335,050103,0,dist threshhold,335-050103
336,050104,39,dist threshhold,336-050104
337,050112,0,dist threshhold,337-050112
338,050116,0,dist threshhold,338-050116
339,050063,0,top dist and str match,339-050063
340,050058,0,dist threshhold,340-050058
341,050078,0,dist threshhold,341-050078
342,050219,0,normalized average,342-050219
343,050204,0,dist threshhold,343-050204
344,050205,0,dist threshhold,344-050205
345,050231,0,dist threshhold,345-050231
346,050235,5,dist threshhold,346-050235
347,050238,0,dist threshhold,347-050238
348,050239,0,dist threshhold,348-050239
349,050776,0,normalized average,349-050776
350,050278,0,dist threshhold,350-050278
351,050290,0,dist threshhold,351-050290
353,050262,0,normalized average,353-050262
354,050281,9,dist threshhold,354-050281
355,050353,0,dist threshhold,355-050353
356,050350,0,dist threshhold,356-050350
357,050351,0,top dist and str match,357-050351
358,050378,0,dist threshhold,358-050378
359,050382,0,dist threshhold,359-050382
360,050393,0,dist threshhold,360-050393
361,050438,0,dist threshhold,361-050438
362,050411,0,dist threshhold,362-050411
363,050468,0,top dist and str match,363-050468
364,050471,0,dist threshhold,364-050471
365,050481,30,dist threshhold,365-050481
366,050485,0,top dist and str match,366-050485
367,050531,22,dist threshhold,367-050531
368,050561,32,dist threshhold,368-050561
369,050723,27,dist threshhold,369-050723
370,050735,0,dist threshhold,370-050735
371,050736,46,dist threshhold,371-050736
372,050737,0,dist threshhold,372-050737
373,050738,0,dist threshhold,373-050738
374,050739,0,dist threshhold,374-050739
375,050740,0,dist threshhold,375-050740
376,050742,0,top dist and str match,376-050742
377,050761,0,dist threshhold,377-050761
379,050755,36,dist threshhold,379-050755
381,050624,0,dist threshhold,381-050624
382,050625,9,dist threshhold,382-050625
383,050581,0,dist threshhold,383-050581
384,050588,0,dist threshhold,384-050588
385,050597,0,dist threshhold,385-050597
386,050641,0,dist threshhold,386-050641
387,050660,50,top dist and str match,387-050660
388,050663,0,dist threshhold,388-050663
389,050677,64,dist threshhold,389-050677
390,050696,0,top dist and str match,390-050696
391,050704,0,dist threshhold,391-050704
392,050040,0,dist threshhold,392-050040
393,050056,40,dist threshhold,393-050056
394,050568,0,dist threshhold,394-050568
396,050360,118,top dist and str match,396-050360
397,050131,0,dist threshhold,397-050131
398,051304,0,dist threshhold,398-051304
399,051310,0,dist threshhold,399-051310
400,051325,0,dist threshhold,400-051325
401,050301,77,dist threshhold,401-050301
402,050444,0,dist threshhold,402-050444
403,050528,0,dist threshhold,403-050528
404,051308,175,top dist and str match,404-051308
405,050334,97,dist threshhold,405-050334
406,050248,0,dist threshhold,406-050248
407,050145,0,dist threshhold,407-050145
408,050189,0,dist threshhold,408-050189
409,050009,3,dist threshhold,409-050009
410,050013,6,dist threshhold,410-050013
411,050150,0,dist threshhold,411-050150
412,051328,0,dist threshhold,412-051328
413,050168,0,dist threshhold,413-050168
414,050069,29,top dist and str match,414-050069
415,050226,0,dist threshhold,415-050226
416,050224,103,normalized average,416-050224
417,050230,0,dist threshhold,417-050230
418,050348,31,dist threshhold,418-050348
419,050526,0,dist threshhold,419-050526
420,050570,142,top dist and str match,420-050570
421,050567,0,top dist and str match,421-050567
422,050543,0,dist threshhold,422-050543
423,050551,0,dist threshhold,423-050551
425,050376,0,dist threshhold,425-050376
426,050426,0,dist threshhold,426-050426
427,050678,0,dist threshhold,427-050678
428,050589,0,dist threshhold,428-050589
429,050580,0,dist threshhold,429-050580
430,050609,0,dist threshhold,430-050609
431,050603,0,dist threshhold,431-050603
432,050744,0,dist threshhold,432-050744
433,050745,0,dist threshhold,433-050745
434,050746,0,dist threshhold,434-050746
435,050747,0,dist threshhold,435-050747
436,050717,0,dist threshhold,436-050717
437,050498,8,dist threshhold,437-050498
438,050309,15,dist threshhold,438-050309
439,051300,0,dist threshhold,439-051300
440,051326,0,dist threshhold,440-051326
441,051327,0,dist threshhold,441-051327
442,050765,79,dist threshhold,442-050765
443,050684,0,dist threshhold,443-050684
444,050686,19,dist threshhold,444-050686
445,050573,0,dist threshhold,445-050573
446,050534,63,dist threshhold,446-050534
447,050423,0,dist threshhold,447-050423
448,050390,0,dist threshhold,448-050390
449,050329,0,dist threshhold,449-050329
450,050292,0,dist threshhold,450-050292
451,050243,0,dist threshhold,451-050243
452,050102,0,dist threshhold,452-050102
454,050022,0,dist threshhold,454-050022
455,050017,0,dist threshhold,455-050017
456,050108,0,dist threshhold,456-050108
458,050425,94,dist threshhold,458-050425
459,050414,0,dist threshhold,459-050414
460,050516,57,dist threshhold,460-050516
461,050674,0,dist threshhold,461-050674
462,050590,0,top dist and str match,462-050590
463,050599,0,normalized average,463-050599
464,050296,57,dist threshhold,464-050296
465,050298,0,dist threshhold,465-050298
466,050300,0,dist threshhold,466-050300
467,050327,0,top dist and str match,467-050327
468,050245,0,dist threshhold,468-050245
469,050279,0,dist threshhold,469-050279
470,050272,0,dist threshhold,470-050272
471,050099,0,dist threshhold,471-050099
472,050089,0,top dist and str match,472-050089
473,050129,0,dist threshhold,473-050129
474,050140,32,dist threshhold,474-050140
