adm1_code,adm0_a3,population,density,min,max,mean,median,mode,stddev
BLZ-1326,BLZ,47033,0,0.0016882429111071608,13.200968742370605,0.08174111612255332,0.0016882429111071608,0.046042598239406506,0.19876553995762344
MNG-3323,MNG,46118,0,3.0232368590077385E-4,7.16489315032959,0.005397899272728874,3.0232368590077385E-4,0.003099847030263349,0.049176859299708255
ETH-3129,ETH,21553707,0,0.004217622003758727,206.60794503348214,1.6205951168754436,0.004217622003758727,0.5847000836828179,3.4054318561718446
GNB-5500,GNB,102783,0,0.1268710345029831,9.676524775368827,1.1147406993845181,0.7363976176424738,0.1708921243046064,1.070440966023331
MKD-2943,MKD,110008,0,0.0,6.704537272453308,1.3769110762691417,0.6450567343791005,0.26121446290757727,1.5203786676396913
LVA-5713,LVA,3450,0,0.01274296292103827,1.6745941638946533,0.051745843264360616,0.01274296292103827,0.027119249213997238,0.1091858446897483
TUR-2281,TUR,560293,0,0.03502883706241845,130.29476928710938,0.5582065144094622,0.03502883706241845,0.20054079171568429,3.432431936200741
MAR-3457,MAR,473232,0,5.621751210331895E-6,221.71011352539062,0.035001592532113976,5.621751210331895E-6,0.012112606855157138,0.9959161332645471
VNM-468,VNM,1731534,1,1.579919291953161,231.00336456298828,9.225650748493782,5.502657105767339,4.400179029861076,10.140330562847474
PAN-3455,PAN,11750,0,0.0015365493870782647,1.7768560647964478,0.02462653227541102,0.0015365493870782647,0.015225688801362838,0.03406654036235886
VNM-491,VNM,952658,1,0.10401471704244614,461.1983642578125,11.686052791656465,0.10401471704244614,0.8527321070934405,36.59022049465324
DEU-1576,DEU,7619417,0,0.0,23.390735499064128,0.8401171049158002,0.0,0.1726718337304306,1.9133532429111766
NGA-2873,NGA,3735464,0,0.06560955821506438,106.30923461914062,0.6790352182668132,0.06560955821506438,0.4066217340204165,2.0642103548232513
BLR-2340,BLR,985254,0,0.003438968431988829,35.3918342590332,0.17510051971449256,0.003438968431988829,0.03714152614195695,1.4660992641857482
LKA-2449,LKA,523093,0,0.06333641244780762,146.81251525878906,2.12198860890456,0.4543636203298673,0.21866171450709715,4.370319468518282
BIH-2891,BIH,25225,0,0.02474990270521681,10.125634670257568,0.2871145656623708,0.02474990270521681,0.050135119640059574,0.8169938016994507
VEN-42,VEN,380022,0,0.10925830358808691,45.0510139465332,2.8794417700563755,0.10925830358808691,0.4430008712444998,5.986081644896571
THA-426,THA,1722965,0,0.0027634981088340282,386.08123779296875,0.983916164997328,0.0027634981088340282,0.5772393173805024,2.0693486911008963
GRC-2884,GRC,3631172,0,0.006467346508648194,231.76405334472656,6.636824759419539,0.006467346508648194,0.3220227557981911,22.114922128038508
LIE-4902,LIE,6883,0,0.3704873099923134,5.240226984024048,2.7623379226781473,2.777420106458664,4.4090127006905995,1.3309634195919102
GBR-5681,GBR,298980,1,0.18055625735884048,267.3932189941406,8.20270698519071,0.18055625735884048,0.3427212862435053,15.402793371029286
CSI+00?,CSI,0,0,7.460706683559692E-7,7.460706683559692E-7,7.460706683559692E-7,7.460706683559692E-7,7.460706683559692E-7,0.0
PNG-1242,PNG,598269,0,0.00909768795109775,7.748820445906948,0.8148267303630159,0.11590517096844034,0.11771043559496959,1.0511686522115837
IND-3257,IND,102791270,1,0.0,2404.0390625,9.88902390177317,0.0,7.58778090146841,28.556555450892457
LVA-5745,LVA,6749,0,0.0038943671388551593,4.1503325462341305,0.06444594773176408,0.0038943671388551593,0.02666644576843705,0.2831115361978156
GBR-2749,GBR,746893,0,0.017928472625604576,487.5989685058594,1.6877689886175955,0.017928472625604576,0.25273326495720927,6.440327475020612
GBR-2070,GBR,311257,5,0.12101215869188309,623.8040771484375,30.53942941897366,24.116065076996666,0.836396773823337,30.089741287681655
LVA-5727,LVA,5017,0,0.013318306722678634,2.016591787338257,0.07495560100614304,0.013318306722678634,0.022382915921095606,0.13670469814635283
CIV-3447,CIV,955667,0,0.19212288329643862,54.64540481567383,0.7539339175950242,0.19212288329643862,0.45207835704301974,1.8057423927684324
YEM-3510,YEM,814917,1,0.06089275702834129,144.42600911458334,13.702541613915496,0.06089275702834129,0.6325774637223686,26.1842063734102
COL-1314,COL,7919238,0,0.0,203.21127319335938,1.0678725306637649,0.0,0.2907763172602424,8.728144223893528
ZWE-530,ZWE,710469,0,0.0,25.95003382364909,0.10446715210834512,0.0,0.07737327818632872,0.3274669522157954
MKD-2950,MKD,12405,0,0.02594643458724022,3.8260226249694824,0.49996944872198285,0.20168592102728575,0.16155214397003673,0.5755523648127886
LIE-4893,LIE,1293,0,0.08344056591930162,7.15841007232666,0.7488749980296644,0.514617264060357,0.5761266302012797,0.7918388312111133
NPL-1134,NPL,6122995,0,0.0,999.9835510253906,4.913537513876185,0.0,1.2427157675079996,21.04726665385702
SVN-1034,SVN,15013,0,0.002693759510293603,31.840660095214844,0.4381482069723424,0.002693759510293603,0.07638790007369732,1.2823454736677729
AUT-2325,AUT,556670,0,0.0,17.46521496954764,0.34260601729598034,0.0,0.07666389351613329,1.1154989910090456
SLV-1357,SLV,238111,0,0.06316266157503787,32.57629662972909,1.0694569445232232,0.06316266157503787,0.4411406942868088,2.1273688456621307
CHE-171,CHE,91334,0,0.07921493983310451,48.22725963592529,1.5049666061089675,0.07921493983310451,0.36019090824791894,4.026071030032079
POL-3140,POL,2391741,0,0.0493484977632761,39.21692454814911,0.6810657342800673,0.0493484977632761,0.16648179660207035,2.515094801566203
HND-641,HND,79645,0,0.23462556633945558,45.73554229736328,3.01056373263043,0.23462556633945558,0.46104019698046056,6.429845963268863
UGA-5591,UGA,239309,0,0.20238738471553439,14.088895797729492,2.072949080357576,1.6609366557777197,1.3575150454122236,1.364482322648324
DZA-2212,DZA,1683212,0,0.004560953689540863,162.39198303222656,0.338860758356254,0.004560953689540863,0.11814318648230927,3.475290206524809
NGA-2842,NGA,6077204,0,0.9130886793136597,111.34809875488281,7.774115063089115,5.412089440255414,6.630960958746509,6.612048561015273
SVN-950,SVN,23280,0,0.19837950730844242,21.783989588419598,1.0070561727405527,0.19837950730844242,0.19837950730844242,2.44373816579809
DMA-1433,DMA,0,0,null,null,null,null,null,null
GNQ-1470,GNQ,371071,0,0.02939707413315773,3.3785325951046414,0.44481282722235926,0.3304463324244262,0.12629922051162207,0.3689205734971201
BWA-5502,BWA,109094,1,0.37130160141835156,17.573904037475586,9.415239552265001,9.52886171646554,15.919814195104067,4.7965161644149
PNG-1255,PNG,181996,0,0.04146293910448932,1.2859229174527256,0.17782648492270775,0.1327889637393133,0.13110616042296974,0.12786978823366757
