State,Total Hospital Beds,Total ICU Beds,Hospital Bed Occupancy Rate,ICU Bed Occupancy Rate,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
NC,"21,065","3,168",0.7,0.71,"6,288","13,676",911,"2,040","7,762,882","1,514,937","4,657,729","971,320","209,161","64,755",1030%,473%,307%,"32,377",515%,237%,154%,"21,116",336%,154%,100%,"13,944",1531%,684%,440%,"6,972",765%,342%,220%,"4,547",499%,223%,144%
ND,"3,371",278,0.58,0.66,"1,420","2,395",95,187,"575,105","107,196","345,063","71,672","15,359","4,778",336%,199%,142%,"2,389",168%,100%,71%,"1,558",110%,65%,46%,"1,024",1078%,548%,368%,512,539%,274%,184%,334,352%,179%,120%
NE,"5,872",548,0.55,0.63,"2,630","4,251",202,375,"1,424,102","278,598","854,461","178,228","38,389","11,882",452%,280%,202%,"5,941",226%,140%,101%,"3,875",147%,91%,66%,"2,559",1267%,682%,467%,"1,280",634%,341%,234%,835,413%,223%,152%
NH,"2,598",252,0.64,0.56,939,"1,768",110,181,"1,067,991","219,293","640,795","134,251","29,070","8,950",953%,506%,344%,"4,475",477%,253%,172%,"2,918",311%,165%,112%,"1,938",1762%,1071%,769%,969,881%,535%,385%,632,575%,349%,251%
NJ,"20,450","1,891",0.67,0.55,"6,688","13,569",846,"1,368","6,960,340","1,353,999","4,176,204","870,657","187,420","58,044",868%,428%,284%,"29,022",434%,214%,142%,"18,927",283%,139%,93%,"12,495",1477%,913%,661%,"6,247",738%,457%,330%,"4,074",482%,298%,215%
NM,"3,460",460,0.6,0.59,"1,368","2,414",188,324,"1,587,101","328,682","952,261","199,664","43,276","13,311",973%,551%,385%,"6,655",486%,276%,192%,"4,341",317%,180%,125%,"2,885",1535%,890%,627%,"1,443",768%,445%,314%,941,501%,290%,205%
NV,"5,610","1,118",0.72,0.78,"1,548","3,579",248,683,"2,217,723","420,330","1,330,634","276,779","59,416","18,452",1192%,516%,329%,"9,226",596%,258%,164%,"6,017",389%,168%,107%,"3,961",1597%,580%,354%,"1,981",799%,290%,177%,"1,292",521%,189%,116%
NY,"51,713","4,420",0.78,0.62,"11,549","31,631","1,670","3,045","15,594,924","3,008,351","9,356,954","1,949,297","419,237","129,953",1125%,411%,251%,"64,977",563%,205%,126%,"42,376",367%,134%,82%,"27,949",1674%,918%,632%,"13,975",837%,459%,316%,"9,114",546%,299%,206%
OH,"28,127","3,622",0.59,0.64,"11,419","19,773","1,297","2,459","8,982,588","1,844,642","5,389,553","1,129,160","244,507","75,277",659%,381%,268%,"37,639",330%,190%,134%,"24,547",215%,124%,87%,"16,300",1257%,663%,450%,"8,150",628%,331%,225%,"5,315",410%,216%,147%
OK,"10,781","1,164",0.56,0.63,"4,786","7,783",427,796,"2,939,976","574,330","1,763,986","367,894","79,230","24,526",512%,315%,227%,"12,263",256%,158%,114%,"7,998",167%,103%,74%,"5,282",1237%,664%,454%,"2,641",619%,332%,227%,"1,722",403%,216%,148%
